"TIMESTAMP","TECHNOLOGIES","availabilityFactor"
447,"Thermal",1
448,"Thermal",1
449,"Thermal",1
450,"Thermal",1
451,"Thermal",1
452,"Thermal",1
453,"Thermal",1
454,"Thermal",1
455,"Thermal",1
456,"Thermal",1
457,"Thermal",1
458,"Thermal",1
459,"Thermal",1
460,"Thermal",1
461,"Thermal",1
462,"Thermal",1
463,"Thermal",1
464,"Thermal",1
465,"Thermal",1
466,"Thermal",1
467,"Thermal",1
468,"Thermal",1
469,"Thermal",1
470,"Thermal",1
471,"Thermal",1
472,"Thermal",1
473,"Thermal",1
474,"Thermal",1
475,"Thermal",1
476,"Thermal",1
477,"Thermal",1
478,"Thermal",1
479,"Thermal",1
480,"Thermal",1
481,"Thermal",1
482,"Thermal",1
483,"Thermal",1
484,"Thermal",1
485,"Thermal",1
486,"Thermal",1
487,"Thermal",1
488,"Thermal",1
489,"Thermal",1
490,"Thermal",1
491,"Thermal",1
492,"Thermal",1
493,"Thermal",1
494,"Thermal",1
495,"Thermal",1
496,"Thermal",1
497,"Thermal",1
498,"Thermal",1
499,"Thermal",1
500,"Thermal",1
501,"Thermal",1
502,"Thermal",1
503,"Thermal",1
504,"Thermal",1
505,"Thermal",1
506,"Thermal",1
507,"Thermal",1
508,"Thermal",1
509,"Thermal",1
510,"Thermal",1
511,"Thermal",1
512,"Thermal",1
513,"Thermal",1
514,"Thermal",1
515,"Thermal",1
516,"Thermal",1
517,"Thermal",1
518,"Thermal",1
519,"Thermal",1
520,"Thermal",1
521,"Thermal",1
522,"Thermal",1
523,"Thermal",1
524,"Thermal",1
525,"Thermal",1
526,"Thermal",1
527,"Thermal",1
528,"Thermal",1
529,"Thermal",1
530,"Thermal",1
531,"Thermal",1
532,"Thermal",1
533,"Thermal",1
534,"Thermal",1
535,"Thermal",1
536,"Thermal",1
537,"Thermal",1
538,"Thermal",1
539,"Thermal",1
540,"Thermal",1
541,"Thermal",1
542,"Thermal",1
543,"Thermal",1
544,"Thermal",1
545,"Thermal",1
546,"Thermal",1
547,"Thermal",1
548,"Thermal",1
549,"Thermal",1
550,"Thermal",1
551,"Thermal",1
552,"Thermal",1
553,"Thermal",1
554,"Thermal",1
555,"Thermal",1
556,"Thermal",1
557,"Thermal",1
558,"Thermal",1
559,"Thermal",1
560,"Thermal",1
561,"Thermal",1
562,"Thermal",1
563,"Thermal",1
564,"Thermal",1
565,"Thermal",1
566,"Thermal",1
567,"Thermal",1
568,"Thermal",1
569,"Thermal",1
570,"Thermal",1
571,"Thermal",1
572,"Thermal",1
573,"Thermal",1
574,"Thermal",1
575,"Thermal",1
576,"Thermal",1
577,"Thermal",1
578,"Thermal",1
579,"Thermal",1
580,"Thermal",1
581,"Thermal",1
582,"Thermal",1
583,"Thermal",1
584,"Thermal",1
585,"Thermal",1
586,"Thermal",1
587,"Thermal",1
588,"Thermal",1
589,"Thermal",1
590,"Thermal",1
591,"Thermal",1
592,"Thermal",1
593,"Thermal",1
594,"Thermal",1
595,"Thermal",1
596,"Thermal",1
597,"Thermal",1
598,"Thermal",1
599,"Thermal",1
600,"Thermal",1
601,"Thermal",1
602,"Thermal",1
603,"Thermal",1
604,"Thermal",1
605,"Thermal",1
606,"Thermal",1
607,"Thermal",1
608,"Thermal",1
609,"Thermal",1
610,"Thermal",1
611,"Thermal",1
612,"Thermal",1
613,"Thermal",1
614,"Thermal",1
615,"Thermal",1
616,"Thermal",1
617,"Thermal",1
618,"Thermal",1
619,"Thermal",1
620,"Thermal",1
621,"Thermal",1
622,"Thermal",1
623,"Thermal",1
624,"Thermal",1
625,"Thermal",1
626,"Thermal",1
627,"Thermal",1
628,"Thermal",1
629,"Thermal",1
630,"Thermal",1
631,"Thermal",1
632,"Thermal",1
633,"Thermal",1
634,"Thermal",1
635,"Thermal",1
636,"Thermal",1
637,"Thermal",1
638,"Thermal",1
639,"Thermal",1
640,"Thermal",1
641,"Thermal",1
642,"Thermal",1
643,"Thermal",1
644,"Thermal",1
645,"Thermal",1
646,"Thermal",1
647,"Thermal",1
648,"Thermal",1
649,"Thermal",1
650,"Thermal",1
651,"Thermal",1
652,"Thermal",1
653,"Thermal",1
654,"Thermal",1
655,"Thermal",1
656,"Thermal",1
657,"Thermal",1
658,"Thermal",1
659,"Thermal",1
660,"Thermal",1
661,"Thermal",1
662,"Thermal",1
663,"Thermal",1
664,"Thermal",1
665,"Thermal",1
666,"Thermal",1
667,"Thermal",1
668,"Thermal",1
669,"Thermal",1
670,"Thermal",1
671,"Thermal",1
672,"Thermal",1
673,"Thermal",1
674,"Thermal",1
675,"Thermal",1
676,"Thermal",1
677,"Thermal",1
678,"Thermal",1
679,"Thermal",1
680,"Thermal",1
681,"Thermal",1
682,"Thermal",1
683,"Thermal",1
684,"Thermal",1
685,"Thermal",1
686,"Thermal",1
687,"Thermal",1
688,"Thermal",1
689,"Thermal",1
690,"Thermal",1
691,"Thermal",1
692,"Thermal",1
693,"Thermal",1
694,"Thermal",1
695,"Thermal",1
696,"Thermal",1
697,"Thermal",1
698,"Thermal",1
699,"Thermal",1
700,"Thermal",1
701,"Thermal",1
702,"Thermal",1
703,"Thermal",1
704,"Thermal",1
705,"Thermal",1
706,"Thermal",1
707,"Thermal",1
708,"Thermal",1
709,"Thermal",1
710,"Thermal",1
711,"Thermal",1
712,"Thermal",1
713,"Thermal",1
714,"Thermal",1
715,"Thermal",1
716,"Thermal",1
717,"Thermal",1
718,"Thermal",1
719,"Thermal",1
720,"Thermal",1
721,"Thermal",1
722,"Thermal",1
723,"Thermal",1
724,"Thermal",1
725,"Thermal",1
726,"Thermal",1
727,"Thermal",1
728,"Thermal",1
729,"Thermal",1
730,"Thermal",1
731,"Thermal",1
732,"Thermal",1
733,"Thermal",1
734,"Thermal",1
735,"Thermal",1
736,"Thermal",1
737,"Thermal",1
738,"Thermal",1
739,"Thermal",1
740,"Thermal",1
741,"Thermal",1
742,"Thermal",1
743,"Thermal",1
744,"Thermal",1
745,"Thermal",1
746,"Thermal",1
747,"Thermal",1
748,"Thermal",1
749,"Thermal",1
750,"Thermal",1
751,"Thermal",1
752,"Thermal",1
753,"Thermal",1
754,"Thermal",1
755,"Thermal",1
756,"Thermal",1
757,"Thermal",1
758,"Thermal",1
759,"Thermal",1
760,"Thermal",1
761,"Thermal",1
762,"Thermal",1
763,"Thermal",1
764,"Thermal",1
765,"Thermal",1
766,"Thermal",1
767,"Thermal",1
768,"Thermal",1
769,"Thermal",1
770,"Thermal",1
771,"Thermal",1
772,"Thermal",1
773,"Thermal",1
774,"Thermal",1
775,"Thermal",1
776,"Thermal",1
777,"Thermal",1
778,"Thermal",1
779,"Thermal",1
780,"Thermal",1
781,"Thermal",1
782,"Thermal",1
783,"Thermal",1
784,"Thermal",1
785,"Thermal",1
786,"Thermal",1
787,"Thermal",1
788,"Thermal",1
789,"Thermal",1
790,"Thermal",1
791,"Thermal",1
792,"Thermal",1
793,"Thermal",1
794,"Thermal",1
795,"Thermal",1
796,"Thermal",1
797,"Thermal",1
798,"Thermal",1
799,"Thermal",1
800,"Thermal",1
801,"Thermal",1
802,"Thermal",1
803,"Thermal",1
804,"Thermal",1
805,"Thermal",1
806,"Thermal",1
807,"Thermal",1
808,"Thermal",1
809,"Thermal",1
810,"Thermal",1
811,"Thermal",1
812,"Thermal",1
813,"Thermal",1
814,"Thermal",1
815,"Thermal",1
816,"Thermal",1
817,"Thermal",1
818,"Thermal",1
819,"Thermal",1
820,"Thermal",1
821,"Thermal",1
822,"Thermal",1
823,"Thermal",1
824,"Thermal",1
825,"Thermal",1
826,"Thermal",1
827,"Thermal",1
828,"Thermal",1
829,"Thermal",1
830,"Thermal",1
831,"Thermal",1
832,"Thermal",1
833,"Thermal",1
834,"Thermal",1
835,"Thermal",1
836,"Thermal",1
837,"Thermal",1
838,"Thermal",1
839,"Thermal",1
840,"Thermal",1
841,"Thermal",1
842,"Thermal",1
843,"Thermal",1
844,"Thermal",1
845,"Thermal",1
846,"Thermal",1
847,"Thermal",1
848,"Thermal",1
849,"Thermal",1
850,"Thermal",1
851,"Thermal",1
852,"Thermal",1
853,"Thermal",1
854,"Thermal",1
855,"Thermal",1
856,"Thermal",1
857,"Thermal",1
858,"Thermal",1
859,"Thermal",1
860,"Thermal",1
861,"Thermal",1
862,"Thermal",1
863,"Thermal",1
864,"Thermal",1
865,"Thermal",1
866,"Thermal",1
867,"Thermal",1
868,"Thermal",1
869,"Thermal",1
870,"Thermal",1
871,"Thermal",1
872,"Thermal",1
873,"Thermal",1
874,"Thermal",1
875,"Thermal",1
876,"Thermal",1
877,"Thermal",1
878,"Thermal",1
879,"Thermal",1
880,"Thermal",1
881,"Thermal",1
882,"Thermal",1
883,"Thermal",1
884,"Thermal",1
885,"Thermal",1
886,"Thermal",1
887,"Thermal",1
888,"Thermal",1
889,"Thermal",1
890,"Thermal",1
891,"Thermal",1
892,"Thermal",1
893,"Thermal",1
894,"Thermal",1
895,"Thermal",1
896,"Thermal",1
897,"Thermal",1
898,"Thermal",1
899,"Thermal",1
900,"Thermal",1
901,"Thermal",1
902,"Thermal",1
903,"Thermal",1
904,"Thermal",1
905,"Thermal",1
906,"Thermal",1
907,"Thermal",1
908,"Thermal",1
909,"Thermal",1
910,"Thermal",1
911,"Thermal",1
912,"Thermal",1
913,"Thermal",1
