construction_year_class;heating_system;living_area_class;residential_type;occupancy_status;heating_fuel;energy_class;IPONDL;energy_consumption;surface
[1000, 1918];Autres;De 100 à 120 m²;apartment;renter;other;B;49;74.60911229046575;108.43404330239323
[1000, 1918];Autres;De 100 à 120 m²;apartment;renter;other;C;137;120.31103647933725;108.43404330239325
[1000, 1918];Autres;De 100 à 120 m²;apartment;renter;other;D;214;184.32204685784342;108.43404330239323
[1000, 1918];Autres;De 100 à 120 m²;apartment;renter;other;E;145;277.61773261979204;108.43404330239325
[1000, 1918];Autres;De 100 à 120 m²;apartment;renter;other;F;170;378.54172249910647;108.43404330239325
[1000, 1918];Autres;De 100 à 120 m²;apartment;renter;other;G;87;544.5344584169296;108.43404330239325
[1000, 1918];Autres;De 100 à 120 m²;house;free accomodation;other;A;6;32.75205234093354;110.03675066551361
[1000, 1918];Autres;De 100 à 120 m²;house;free accomodation;other;B;62;75.12320319141135;110.03675066551362
[1000, 1918];Autres;De 100 à 120 m²;house;free accomodation;other;C;327;126.16390611991228;110.03675066551361
[1000, 1918];Autres;De 100 à 120 m²;house;free accomodation;other;D;682;190.992822646068;110.03675066551362
[1000, 1918];Autres;De 100 à 120 m²;house;free accomodation;other;E;813;276.8021979944663;110.03675066551362
[1000, 1918];Autres;De 100 à 120 m²;house;free accomodation;other;F;803;384.57638428389026;110.03675066551362
[1000, 1918];Autres;De 100 à 120 m²;house;free accomodation;other;G;657;555.2626970797961;110.03675066551361
[1000, 1918];Autres;De 100 à 120 m²;house;low rent housing;other;C;3;120.4652946472567;110.03675066551362
[1000, 1918];Autres;De 100 à 120 m²;house;low rent housing;other;D;9;197.620487963818;110.03675066551361
[1000, 1918];Autres;De 100 à 120 m²;house;low rent housing;other;E;16;266.7262852938477;110.03675066551362
[1000, 1918];Autres;De 100 à 120 m²;house;low rent housing;other;F;18;398.010253467338;110.03675066551364
[1000, 1918];Autres;De 100 à 120 m²;house;low rent housing;other;G;15;534.6939762339424;110.03675066551361
[1000, 1918];Autres;De 100 à 120 m²;house;owner;other;A;540;36.95404723814338;110.03675066551362
[1000, 1918];Autres;De 100 à 120 m²;house;owner;other;B;2471;74.28718754224023;110.03675066551362
[1000, 1918];Autres;De 100 à 120 m²;house;owner;other;C;11928;124.85165679520497;110.03675066551362
[1000, 1918];Autres;De 100 à 120 m²;house;owner;other;D;26391;191.2165065190163;110.03675066551362
[1000, 1918];Autres;De 100 à 120 m²;house;owner;other;E;29713;277.73721885598;110.03675066551362
[1000, 1918];Autres;De 100 à 120 m²;house;owner;other;F;29083;384.11842466800766;110.03675066551361
[1000, 1918];Autres;De 100 à 120 m²;house;owner;other;G;22835;555.2818344353585;110.03675066551362
[1000, 1918];Autres;De 100 à 120 m²;house;renter;other;A;39;37.67503144292547;110.03675066551362
[1000, 1918];Autres;De 100 à 120 m²;house;renter;other;B;214;74.84018016175754;110.03675066551362
[1000, 1918];Autres;De 100 à 120 m²;house;renter;other;C;999;124.80720907133504;110.03675066551362
[1000, 1918];Autres;De 100 à 120 m²;house;renter;other;D;2147;189.6472042590396;110.03675066551362
[1000, 1918];Autres;De 100 à 120 m²;house;renter;other;E;2565;278.96569482840624;110.03675066551362
[1000, 1918];Autres;De 100 à 120 m²;house;renter;other;F;2357;384.05628268269146;110.03675066551361
[1000, 1918];Autres;De 100 à 120 m²;house;renter;other;G;1937;552.4391121865644;110.03675066551362
[1000, 1918];Autres;De 30 à 40 m²;apartment;free accomodation;other;B;2;74.86387870143585;35.301771408852204
[1000, 1918];Autres;De 30 à 40 m²;apartment;free accomodation;other;C;19;123.35272117859641;35.3017714088522
[1000, 1918];Autres;De 30 à 40 m²;apartment;free accomodation;other;D;55;194.1707796240197;35.3017714088522
[1000, 1918];Autres;De 30 à 40 m²;apartment;free accomodation;other;E;76;280.66080788810535;35.3017714088522
[1000, 1918];Autres;De 30 à 40 m²;apartment;free accomodation;other;F;56;379.10524890073486;35.3017714088522
[1000, 1918];Autres;De 30 à 40 m²;apartment;free accomodation;other;G;54;580.1505697023347;35.3017714088522
[1000, 1918];Autres;De 30 à 40 m²;apartment;low rent housing;other;C;5;129.87475424789017;35.3017714088522
[1000, 1918];Autres;De 30 à 40 m²;apartment;low rent housing;other;D;2;212.03344899201917;35.30177140885219
[1000, 1918];Autres;De 30 à 40 m²;apartment;low rent housing;other;E;13;278.4655636305357;35.3017714088522
[1000, 1918];Autres;De 30 à 40 m²;apartment;low rent housing;other;F;8;379.86211450886447;35.3017714088522
[1000, 1918];Autres;De 30 à 40 m²;apartment;low rent housing;other;G;14;561.4470697305984;35.3017714088522
[1000, 1918];Autres;De 30 à 40 m²;apartment;owner;other;A;1;49.5646398674575;35.3017714088522
[1000, 1918];Autres;De 30 à 40 m²;apartment;owner;other;B;11;71.5055145603661;35.3017714088522
[1000, 1918];Autres;De 30 à 40 m²;apartment;owner;other;C;57;124.84002249585434;35.3017714088522
[1000, 1918];Autres;De 30 à 40 m²;apartment;owner;other;D;122;195.91561019687688;35.3017714088522
[1000, 1918];Autres;De 30 à 40 m²;apartment;owner;other;E;248;282.88185846486084;35.3017714088522
[1000, 1918];Autres;De 30 à 40 m²;apartment;owner;other;F;191;394.76898319824;35.3017714088522
[1000, 1918];Autres;De 30 à 40 m²;apartment;owner;other;G;190;597.0602099060045;35.3017714088522
[1000, 1918];Autres;De 30 à 40 m²;apartment;renter;other;A;13;36.350396388574396;35.30177140885219
[1000, 1918];Autres;De 30 à 40 m²;apartment;renter;other;B;22;75.75107091484654;35.3017714088522
[1000, 1918];Autres;De 30 à 40 m²;apartment;renter;other;C;91;124.71744129951465;35.3017714088522
[1000, 1918];Autres;De 30 à 40 m²;apartment;renter;other;D;354;197.8374864461267;35.3017714088522
[1000, 1918];Autres;De 30 à 40 m²;apartment;renter;other;E;541;281.5704402596274;35.3017714088522
[1000, 1918];Autres;De 30 à 40 m²;apartment;renter;other;F;435;385.2836288420419;35.3017714088522
[1000, 1918];Autres;De 30 à 40 m²;apartment;renter;other;G;350;574.714138375901;35.3017714088522
[1000, 1918];Autres;De 30 à 40 m²;house;free accomodation;other;A;6;38.97887367970818;35.908752072488944
[1000, 1918];Autres;De 30 à 40 m²;house;free accomodation;other;B;13;78.0472611616779;35.90875207248894
[1000, 1918];Autres;De 30 à 40 m²;house;free accomodation;other;C;27;129.47965519080677;35.90875207248894
[1000, 1918];Autres;De 30 à 40 m²;house;free accomodation;other;D;126;196.55646390684407;35.90875207248894
[1000, 1918];Autres;De 30 à 40 m²;house;free accomodation;other;E;415;284.0142842750177;35.90875207248894
[1000, 1918];Autres;De 30 à 40 m²;house;free accomodation;other;F;374;388.24714064148947;35.90875207248894
[1000, 1918];Autres;De 30 à 40 m²;house;free accomodation;other;G;343;597.9867479677898;35.90875207248894
[1000, 1918];Autres;De 30 à 40 m²;house;low rent housing;other;D;4;203.01652985883263;35.90875207248894
[1000, 1918];Autres;De 30 à 40 m²;house;low rent housing;other;E;6;277.02607645275475;35.90875207248893
[1000, 1918];Autres;De 30 à 40 m²;house;low rent housing;other;F;11;398.22682762865855;35.90875207248894
[1000, 1918];Autres;De 30 à 40 m²;house;low rent housing;other;G;4;604.6209815406274;35.90875207248894
[1000, 1918];Autres;De 30 à 40 m²;house;owner;other;A;15;40.5927429144483;35.90875207248894
[1000, 1918];Autres;De 30 à 40 m²;house;owner;other;B;80;73.86489036394876;35.90875207248894
[1000, 1918];Autres;De 30 à 40 m²;house;owner;other;C;275;127.51356160947758;35.90875207248894
[1000, 1918];Autres;De 30 à 40 m²;house;owner;other;D;1162;195.64764630666835;35.90875207248894
[1000, 1918];Autres;De 30 à 40 m²;house;owner;other;E;3836;284.540853950238;35.90875207248894
[1000, 1918];Autres;De 30 à 40 m²;house;owner;other;F;3144;386.67777619748705;35.90875207248894
[1000, 1918];Autres;De 30 à 40 m²;house;owner;other;G;2813;588.1509490006;35.90875207248893
[1000, 1918];Autres;De 30 à 40 m²;house;renter;other;A;4;37.8247201689182;35.908752072488944
[1000, 1918];Autres;De 30 à 40 m²;house;renter;other;B;16;64.35262427737403;35.908752072488944
[1000, 1918];Autres;De 30 à 40 m²;house;renter;other;C;66;129.60501721526362;35.90875207248894
[1000, 1918];Autres;De 30 à 40 m²;house;renter;other;D;262;198.2213638848285;35.90875207248894
[1000, 1918];Autres;De 30 à 40 m²;house;renter;other;E;849;283.6455191396099;35.90875207248894
[1000, 1918];Autres;De 30 à 40 m²;house;renter;other;F;871;386.8413761408854;35.90875207248894
[1000, 1918];Autres;De 30 à 40 m²;house;renter;other;G;694;587.108407267575;35.90875207248894
[1000, 1918];Autres;De 40 à 60 m²;apartment;free accomodation;other;A;1;49.5646398674575;49.53456450365714
[1000, 1918];Autres;De 40 à 60 m²;apartment;free accomodation;other;B;10;80.02412933874797;49.53456450365713
[1000, 1918];Autres;De 40 à 60 m²;apartment;free accomodation;other;C;36;122.83753059229188;49.534564503657144
[1000, 1918];Autres;De 40 à 60 m²;apartment;free accomodation;other;D;83;195.5059891067681;49.534564503657144
[1000, 1918];Autres;De 40 à 60 m²;apartment;free accomodation;other;E;169;284.37308010697933;49.53456450365714
[1000, 1918];Autres;De 40 à 60 m²;apartment;free accomodation;other;F;103;386.2899230952526;49.53456450365714
[1000, 1918];Autres;De 40 à 60 m²;apartment;free accomodation;other;G;100;586.2585661984751;49.53456450365714
[1000, 1918];Autres;De 40 à 60 m²;apartment;low rent housing;other;C;3;119.91711563430772;49.53456450365714
[1000, 1918];Autres;De 40 à 60 m²;apartment;low rent housing;other;D;13;193.00491049176526;49.53456450365714
[1000, 1918];Autres;De 40 à 60 m²;apartment;low rent housing;other;E;35;284.99198628637026;49.534564503657144
[1000, 1918];Autres;De 40 à 60 m²;apartment;low rent housing;other;F;11;391.41750336211135;49.53456450365713
[1000, 1918];Autres;De 40 à 60 m²;apartment;low rent housing;other;G;10;595.345616853304;49.53456450365713
[1000, 1918];Autres;De 40 à 60 m²;apartment;owner;other;A;14;47.99425271551907;49.53456450365713
[1000, 1918];Autres;De 40 à 60 m²;apartment;owner;other;B;18;76.48071651545196;49.53456450365714
[1000, 1918];Autres;De 40 à 60 m²;apartment;owner;other;C;137;120.32018217049576;49.534564503657144
[1000, 1918];Autres;De 40 à 60 m²;apartment;owner;other;D;393;189.48837144077325;49.53456450365714
[1000, 1918];Autres;De 40 à 60 m²;apartment;owner;other;E;747;279.915841638041;49.53456450365714
[1000, 1918];Autres;De 40 à 60 m²;apartment;owner;other;F;543;387.0363628613343;49.53456450365713
[1000, 1918];Autres;De 40 à 60 m²;apartment;owner;other;G;483;583.4250988664148;49.53456450365714
[1000, 1918];Autres;De 40 à 60 m²;apartment;renter;other;A;7;44.553183032309875;49.534564503657144
[1000, 1918];Autres;De 40 à 60 m²;apartment;renter;other;B;53;73.79155234457153;49.534564503657144
[1000, 1918];Autres;De 40 à 60 m²;apartment;renter;other;C;244;124.66067652168717;49.534564503657144
[1000, 1918];Autres;De 40 à 60 m²;apartment;renter;other;D;658;195.35776638556814;49.53456450365714
[1000, 1918];Autres;De 40 à 60 m²;apartment;renter;other;E;1209;282.47346439063233;49.534564503657144
[1000, 1918];Autres;De 40 à 60 m²;apartment;renter;other;F;994;383.31889849502113;49.53456450365713
[1000, 1918];Autres;De 40 à 60 m²;apartment;renter;other;G;770;578.8019852333842;49.53456450365713
