Heure;Jour;Mois;Industrie;Autres residentiel;Autres tertiaire;Eclairage;Cuisson
5;Dimanche;3;0,417193877;0,252127458;0,238552452;0,083288319;0,008837895
6;Dimanche;3;0,412358525;0,244872467;0,249788753;0,080925319;0,012054937
7;Dimanche;3;0,374516852;0,225447385;0,27461796;0,087970179;0,037447623
8;Dimanche;3;0,328174533;0,212900992;0,301946144;0,111233538;0,045744793
9;Dimanche;3;0,324023373;0,22931777;0,305284672;0,097855428;0,043518758
10;Dimanche;3;0,332488721;0,245789576;0,301785181;0,09105822;0,028878303
11;Dimanche;3;0,327615168;0,247739038;0,306911453;0,087613672;0,03012067
12;Dimanche;3;0,321632842;0,255425089;0,272199841;0,080563014;0,070179215
13;Dimanche;3;0,3279338;0,266542359;0,235405794;0,078695575;0,091422473
14;Dimanche;3;0,333004734;0,264230349;0,275616054;0,08341146;0,043737403
15;Dimanche;3;0,334932743;0,260083962;0,298554349;0,08173743;0,024691515
16;Dimanche;3;0,337175393;0,26399684;0,295771858;0,080913317;0,022142592
17;Dimanche;3;0,333934894;0,246632275;0,307888037;0,085229051;0,026315743
18;Dimanche;3;0,315376075;0,218173815;0,320404067;0,117050626;0,028995418
19;Dimanche;3;0,29038333;0,218698907;0,29119015;0,130215416;0,069512198
20;Dimanche;3;0,288688129;0,219281331;0,253986515;0,132488587;0,105555438
21;Dimanche;3;0,307953446;0,231200982;0,250911949;0,134649782;0,075283841
22;Dimanche;3;0,328687276;0,242756574;0,253897307;0,137476646;0,037182197
23;Dimanche;3;0,349343779;0,249842516;0,242501172;0,141735304;0,016577229
0;Semaine;4;0,400436802;0,230156669;0,245151606;0,117069849;0,007185074
1;Semaine;4;0,402572689;0,250655333;0,243776757;0,097033788;0,005961433
2;Semaine;4;0,423499459;0,270777664;0,216068354;0,083448406;0,006206117
3;Semaine;4;0,424422043;0,264302806;0,221808556;0,083273487;0,006193108
4;Semaine;4;0,437608824;0,251053599;0,228981884;0,07788301;0,004472682
5;Semaine;4;0,4413036;0,244817725;0,224185408;0,083484468;0,006208799
6;Semaine;4;0,436125642;0,225424358;0,258920071;0,072006827;0,007523101
7;Semaine;4;0,401552734;0,202421776;0,296901018;0,07227662;0,026847851
8;Semaine;4;0,35330745;0,185689369;0,340396613;0,088132961;0,032473606
9;Semaine;4;0,340641487;0,191911478;0,35999459;0,078421658;0,029030786
10;Semaine;4;0,336608295;0,197388394;0,374570683;0,072805124;0,018627504
11;Semaine;4;0,334265888;0,198075296;0,377280366;0,070390907;0,019987542
12;Semaine;4;0,331426856;0,206055683;0,350257734;0,06579257;0,046467157
13;Semaine;4;0,336258594;0,216393756;0,323021654;0,064202672;0,060123323
14;Semaine;4;0,339555342;0,21306896;0,351303024;0,067169188;0,028903486
15;Semaine;4;0,342008908;0,20944381;0,366747069;0,066120265;0,015679949
16;Semaine;4;0,350914265;0,216125003;0,352002696;0,066097423;0,014860613
17;Semaine;4;0,354990654;0,208171363;0,349536076;0,069171488;0,018130419
18;Semaine;4;0,346437304;0,194732094;0,347416072;0,09052025;0,02089428
19;Semaine;4;0,330102548;0,20219789;0,315333909;0,101223682;0,051141971
20;Semaine;4;0,333256198;0,207130755;0,274014743;0,106010804;0,0795875
21;Semaine;4;0,35473131;0,221683218;0,255310857;0,110500558;0,057774057
22;Semaine;4;0,375179345;0,231883904;0,241396339;0,123222624;0,028317788
23;Semaine;4;0,391405211;0,234630708;0,227633617;0,134389777;0,011940688
0;Samedi;4;0,370784263;0,240100839;0,255743649;0,12212798;0,01124327
1;Samedi;4;0,4013763;0,249910421;0,243052287;0,096745417;0,008915575
2;Samedi;4;0,422189381;0,269940024;0,215399956;0,083190261;0,009280378
3;Samedi;4;0,423111854;0,263486905;0,221123834;0,083016422;0,009260985
4;Samedi;4;0,436632365;0,25049341;0,228470945;0,077709226;0,006694053
5;Samedi;4;0,433722514;0,246768545;0,22597182;0,084149711;0,009387411
6;Samedi;4;0,436496231;0,236827188;0,239171899;0,075649209;0,011855473
7;Samedi;4;0,401971092;0,217370082;0,259799031;0,077614055;0,04324574
8;Samedi;4;0,352359766;0,203165047;0,294753155;0,096427368;0,053294665
9;Samedi;4;0,341991688;0,216160769;0,304468259;0,088330756;0,049048528
10;Samedi;4;0,347993147;0,228800068;0,306427992;0,084391068;0,032387726
11;Samedi;4;0,344728118;0,22875665;0,310595613;0,081294278;0,034625341
12;Samedi;4;0,336184519;0,234063328;0,275842232;0,074735274;0,079174647
13;Samedi;4;0,3393326;0,244691683;0,241398705;0,072598489;0,101978523
14;Samedi;4;0,349244814;0,245310077;0,278196384;0,07733308;0,049915645
15;Samedi;4;0,354809868;0,243076412;0,298079062;0,076737893;0,027296765
16;Samedi;4;0,359091716;0,247415208;0,292308022;0,075666893;0,02551816
17;Samedi;4;0,356605154;0,234081714;0,300951544;0,077781017;0,030580571
18;Samedi;4;0,340228995;0,214384221;0,311226982;0,099655444;0,034504358
19;Samedi;4;0,311948088;0,214425705;0,284928941;0,107345132;0,081352134
20;Samedi;4;0,3053489;0,213204419;0,24944549;0,109119343;0,122881848
21;Samedi;4;0,32431732;0,227935744;0,245024392;0,113617202;0,089105342
22;Samedi;4;0,342605963;0,23856647;0,248353041;0,126773726;0,0437008
23;Samedi;4;0,361251028;0,243863694;0,23659126;0,139678168;0,018615851
0;Dimanche;4;0,363537475;0,243591566;0,259461801;0,123903549;0,009505609
1;Dimanche;4;0,402449771;0,250083041;0,243220169;0,096812242;0,007434778
2;Dimanche;4;0,420777297;0,271326025;0,216505922;0,0836174;0,007773357
3;Dimanche;4;0,420656562;0,265318205;0,2226607;0,083593407;0,007771126
4;Dimanche;4;0,431458108;0,253295689;0,231026858;0,078578562;0,005640783
5;Dimanche;4;0,428525913;0,249723044;0,228677325;0,085157214;0,007916503
6;Dimanche;4;0,427131236;0,244442926;0,240146689;0,078081888;0,010197262
7;Dimanche;4;0,391017188;0,228576116;0,260895438;0,081615276;0,037895982
8;Dimanche;4;0,343545246;0,21394833;0,294191567;0,101545392;0,046769464
9;Dimanche;4;0,335627549;0,228019044;0,3000609;0,093176457;0,043116051
10;Dimanche;4;0,341291918;0,242576041;0,298045001;0,089472225;0,028614816
11;Dimanche;4;0,33541607;0,243356861;0,304048185;0,086482821;0,030696063
12;Dimanche;4;0,329233108;0,25062355;0,269473524;0,080022872;0,070646946
13;Dimanche;4;0,335160465;0,262756196;0,232869263;0,077958117;0,091255959
14;Dimanche;4;0,340071409;0,262198883;0,270612349;0,082657212;0,044460147
15;Dimanche;4;0,343115772;0,259475198;0,291212212;0,0819149;0,024281917
16;Dimanche;4;0,346058733;0,263195743;0,287631017;0,080493048;0,022621458
17;Dimanche;4;0,3438069;0,247724952;0,299184626;0,082314413;0,02696911
18;Dimanche;4;0,329307704;0,224698831;0,311406278;0,104450139;0,030137047
19;Dimanche;4;0,304412489;0,224392534;0,287915696;0,112334695;0,070944586
20;Dimanche;4;0,301016625;0,22318973;0,254366301;0,114229886;0,107197459
21;Dimanche;4;0,319372515;0,23600099;0,250107218;0,117637416;0,076881861
22;Dimanche;4;0,337437768;0,243135769;0,253109782;0,129201841;0,03711484
23;Dimanche;4;0,353564529;0,248002913;0,24060704;0,142048994;0,015776522
0;Semaine;5;0,403601071;0,227239201;0,243756326;0,118194488;0,007208913
1;Semaine;5;0,409450924;0,252750689;0,234455817;0,098182478;0,005160092
2;Semaine;5;0,432494851;0,271468807;0,205857307;0,084784965;0,00539407
3;Semaine;5;0,434876657;0,262684444;0,211958154;0,085068628;0,005412116
4;Semaine;5;0,448994224;0,247472436;0,220221307;0,078736659;0,004575374
5;Semaine;5;0,453491619;0,242075218;0,213636441;0,085365705;0,005431017
6;Semaine;5;0,450449564;0,224371008;0,250202583;0,068961912;0,006014934
7;Semaine;5;0,417321315;0,204428399;0,285482032;0,065709128;0,027059126
8;Semaine;5;0,36731213;0,185598884;0,335708299;0,078311765;0,033068923
9;Semaine;5;0,350137009;0,189647565;0,357923103;0,073718489;0,028573833
10;Semaine;5;0,343307274;0,193540262;0,373768746;0,071039439;0,018344279
11;Semaine;5;0,340988185;0,193138341;0,376605449;0,069002975;0,020265051
12;Semaine;5;0,338052194;0,200684862;0,349802893;0,064939515;0,046520536
13;Semaine;5;0,34207546;0,21200362;0,322985812;0,063234787;0,059700322
14;Semaine;5;0,345216854;0,210298368;0,34902906;0,066198493;0,029257226
15;Semaine;5;0,34894069;0,207593952;0,36231294;0,065851604;0,015300814
16;Semaine;5;0,358820825;0,214102593;0,346647035;0,065326186;0,015103361
17;Semaine;5;0,363839648;0,208021114;0,343460175;0,066177755;0,018501308
18;Semaine;5;0,360557455;0,199531045;0,340434366;0,077864946;0,021612188
19;Semaine;5;0,345415529;0,206610805;0,313293058;0,082716449;0,051964158
20;Semaine;5;0,34726395;0,210164251;0,27509872;0,086911778;0,0805613
21;Semaine;5;0,367940161;0,225849889;0,254565343;0,092756603;0,058888004
22;Semaine;5;0,384967599;0,231935863;0,240247622;0,114626716;0,028222201
23;Semaine;5;0,395441291;0,232805654;0,225755632;0,134686399;0,011311023
0;Samedi;5;0,373658777;0,237214127;0,25445629;0,123382771;0,011288035
1;Samedi;5;0,408397241;0,252100258;0,233852467;0,097929815;0,007720219
2;Samedi;5;0,431331535;0,270738616;0,205303596;0,084556912;0,008069341
3;Samedi;5;0,433703031;0,261975523;0,211386131;0,084839048;0,008096265
4;Samedi;5;0,44796941;0,246907589;0,219718659;0,078556945;0,006847397
5;Samedi;5;0,445974838;0,244191421;0,215504034;0,086111966;0,008217741
6;Samedi;5;0,452024956;0,236439716;0,229356312;0,072671309;0,009507707
7;Samedi;5;0,419227962;0,220430167;0,245723522;0,070852554;0,043765796
