Date;Autres usages;Climatisation et ventilation;Cuisson;Eclairage;Energie;Industrie hors metallurgie;Metallurgie
2019-09-25 08:00:00;23318.46147115488;1033.4053169079145;1235.097406511115;3465.678152519545;1227.2138180587478;11311.257621840614;2228.3650361150117
2019-09-25 09:00:00;25511.301771514845;1100.2245144765475;1148.3115172570108;3557.3131078134797;1271.7955893435276;11722.168772396459;2309.3162500291446
2019-09-25 10:00:00;26525.631674046617;1124.262176849985;1081.6057473463748;3634.1704394252;1286.2267430510708;11855.181344017656;2335.520295830664
2019-09-25 11:00:00;26220.690971019434;1113.7724732179379;1673.8453216055782;3547.0331152673243;1286.2552041753509;11855.443428227827;2335.5719307139448
2019-09-25 12:00:00;24416.927734972553;1047.9465434438368;3079.5667862269897;3340.9740918352923;1302.3007101558776;12003.335196094777;2364.707212970682
2019-09-25 13:00:00;25759.37670356035;1051.1627429863609;1792.761999548761;3435.005437471931;1325.1735891064754;12214.155155232313;2406.23965691269
2019-09-25 14:00:00;26494.135638597483;1107.2485934750562;770.1184533651441;3437.421737533243;1319.584546600325;12162.640927172364;2396.0911272913927
2019-09-25 15:00:00;25672.77985689277;1126.750187806361;678.0020532236771;3341.1314012994335;1334.798787175436;12302.87072615684;2423.7169808525305
2019-09-25 16:00:00;24558.771404759525;1116.0947364199185;788.5995923658066;3292.186139904466;1336.5437630738022;12318.954404237063;2426.885528054624
2019-09-25 17:00:00;23199.66304249659;1076.9719290635535;1010.8374849645647;3601.5416077035165;1305.0832701369177;12028.98209524515;2369.75977152271
2019-09-25 18:00:00;22174.03558901452;1028.4315848386188;2594.411229761566;3772.3725471343623;1260.5047860335987;11618.101326183783;2288.8145325535543
2019-09-25 19:00:00;20416.98283458768;991.4016892330878;5623.78920112906;3868.159186461316;1322.8752760665604;12192.971691383602;2402.06642561718
2019-09-25 20:00:00;20799.669823631713;1034.8650176031108;4126.423834725554;4241.341295632447;1425.4140507104753;13138.07358809509;2588.255457042432
2019-09-25 21:00:00;19525.716127280673;938.1390940006606;1665.8573999738337;4908.010920861553;1391.0348990273576;12821.200352392216;2525.8300905664396
2019-09-25 22:00:00;16014.893996960018;729.5029466945532;605.7717112664975;4817.871375397115;1215.3977322068445;11202.348463944681;2206.9094789802834
2019-09-25 23:00:00;16430.707396103826;724.2136140767276;331.63095184954966;4306.631240069911;1252.2967763179279;11542.447955855536;2273.910511895221
2019-09-26 00:00:00;16352.166302390531;781.3915863579704;196.71012965331263;3545.3484323822718;1333.0762195013467;12286.993916703854;2420.5891849956483
2019-09-26 01:00:00;14333.001593856441;708.6390009708084;139.55752389074237;2806.6925809319946;1250.8635646665068;11529.237977446852;2271.308105377399
2019-09-26 02:00:00;14691.117205008106;732.2146502916618;131.94848387510004;2799.201489921262;1265.4328415678337;11663.523216302088;2297.7628479439277
2019-09-26 03:00:00;14551.23397064924;736.0358208076195;138.831736258059;2700.9614191338455;1281.8082741700587;11814.45605412774;2327.4972457744443
2019-09-26 04:00:00;13888.541722299533;740.0889680618385;193.10599490140473;2640.0510653538663;1253.0884056534223;11549.744258620505;2275.3479176136116
2019-09-26 05:00:00;14412.139999095765;761.205134698369;379.1125308286928;2157.547355043649;1215.018337242188;11198.851574899283;2206.220575492271
2019-09-26 06:00:00;16337.691061063051;812.7068275398683;973.3184344077736;2242.881827476242;1181.3937679697037;10888.933205472094;2145.1653872879037
2019-09-26 07:00:00;20893.321530295525;948.1600040337983;1621.6622006978696;3337.600082568582;1236.3348996597026;11395.326768407032;2244.9270363997207
2019-09-26 08:00:00;24072.205248683054;1066.8090141564405;1275.0205800854321;3577.702410449611;1266.8821632539323;11676.881660074312;2300.3945000704593
2019-09-26 09:00:00;25754.363068266288;1110.707005711275;1159.2521618763594;3591.205738800327;1283.9127399271079;11833.852823962157;2331.318475057426
2019-09-26 10:00:00;26654.27868734626;1129.7147509109836;1086.8514414234733;3651.795850898863;1292.4648312124752;11912.677945447349;2346.847366727652
2019-09-26 11:00:00;26261.918689915106;1115.5236970316168;1676.477167748392;3552.610240765333;1288.2776286814192;11874.084160830287;2339.244232985709
2019-09-26 12:00:00;24411.20081517186;1047.7007506121236;3078.8444827415947;3340.190476022205;1301.9952592898062;12000.51984853119;2364.1525777312368
2019-09-26 13:00:00;25661.142062382838;1047.1540825259483;1785.9252141028612;3421.905876466396;1320.1199749013695;12167.575877994022;2397.063344457457
2019-09-26 14:00:00;26436.3639689306;1104.834187477671;768.439174995807;3429.9262828471415;1316.7071323844539;12136.119734576903;2390.8663414374255
2019-09-26 15:00:00;25596.882426776054;1123.4191327311128;675.9976495813611;3331.253885562749;1330.8526699947395;12266.499274511225;2416.551652781228
2019-09-26 16:00:00;24566.336480088914;1116.4385378510485;788.8425123076331;3293.200263768249;1336.955471545779;12322.749130630798;2427.6331050214417
2019-09-26 17:00:00;23190.38753194247;1076.5413424435574;1010.4333397085273;3600.1016670831646;1304.5614817978376;12024.172760291647;2368.812312426807
2019-09-26 18:00:00;22062.13553186706;1023.2416611256479;2581.318675467203;3753.3354755146634;1254.1437176107775;11559.47121363048;2277.26415526817
2019-09-26 19:00:00;20146.349176733114;978.2603417708262;5549.24407098739;3816.885495422974;1305.3401398641258;12031.349939742306;2370.226264490476
2019-09-26 20:00:00;20630.740767599993;1026.4601356013147;4092.910183350425;4206.894317028705;1413.8372395359395;13031.36985730843;2567.234375706306
2019-09-26 21:00:00;19449.21727718723;934.4636046382764;1659.3308185830697;4888.7820644526755;1385.58503129796;12770.968797381269;2515.9342641496155
2019-09-26 22:00:00;16050.266871032669;731.1142352784148;607.1097086621388;4828.5128418652985;1218.0822401990733;11227.091634995848;2211.783987116555
2019-09-26 23:00:00;16441.816964135054;724.7032886975923;331.85518301209265;4309.543154425972;1253.143512608484;11550.25234356211;2275.4480089073586
2019-09-27 00:00:00;16398.51446330865;774.4715366318394;194.91549429086183;3510.148312021913;1323.7527732577769;12201.059386978959;2403.6597262831656
2019-09-27 01:00:00;14304.990304960102;701.1601196468594;138.02770770609266;2848.286817267291;1239.376490564723;11423.361320742348;2250.4499554725926
2019-09-27 02:00:00;14702.368169749372;727.2845113936754;131.04854820046148;2783.080307695402;1254.691454107243;11564.519729724161;2278.258751078694
2019-09-27 03:00:00;14545.808362779037;729.9194027995221;137.67004894624822;2697.1064973500584;1270.8565858365757;11713.514142671225;2307.611259475811
2019-09-27 04:00:00;13842.70665226427;730.9509455321427;190.72179453820684;2613.587564953699;1241.3463998411885;11441.518074741089;2254.026900789188
2019-09-27 05:00:00;14293.714517302724;752.9357130316542;374.95824624156705;2133.934917741188;1206.0076363776077;11115.799746203626;2189.859045582787
2019-09-27 06:00:00;16190.133674943956;808.0886423792558;967.7608325118101;2220.5112635185383;1180.8847364609248;10884.241522050324;2144.241101159226
2019-09-27 07:00:00;20781.768600391602;947.2343032216555;1619.91200533961;3312.4007788186573;1236.5712976684224;11397.505881069254;2245.356327140806
2019-09-27 08:00:00;23872.458852135976;1065.923313190084;1274.0053116942026;3542.9068720399787;1267.4255576152634;11681.890275671174;2301.381246967276
