Saison;Jour;Heure;Climatisation et ventilation;Industrie hors metallurgie;Metallurgie;Energie;Cuisson;Eclairage;Autres usages
Ete;Mardi;17;0,024941335;0,275240066;0,054223444;0,029862145;0,0227304;0,070153717;0,522848893
Ete;Mardi;18;0,023931424;0,267440203;0,052686838;0,029015899;0,058517914;0,068905996;0,499501726
Ete;Mardi;19;0,022033358;0,267931362;0,052783599;0,029069187;0,118706849;0,066612477;0,442863168
Ete;Mardi;20;0,022651652;0,284171067;0,055982889;0,030831113;0,087441655;0,074154081;0,444767544
Ete;Mardi;21;0,022058428;0,297985684;0,058704426;0,032329928;0,038010908;0,104378723;0,446531903
Ete;Mardi;22;0,02013666;0,305413088;0,060167655;0,033135764;0,016193818;0,130113805;0,43483921
Ete;Mardi;23;0,019893001;0,313240346;0,061709658;0,033984981;0,008818845;0,117709895;0,444643273
Ete;Mercredi;0;0,021540869;0,33391646;0,065782939;0,036228234;0,005253112;0,096638617;0,440639768
Ete;Mercredi;1;0,021855786;0,350272776;0,069005202;0,038002811;0,004167695;0,087685677;0,429010053
Ete;Mercredi;2;0,022320739;0,350253276;0,06900136;0,038000696;0,003900393;0,084268165;0,432255371
Ete;Mercredi;3;0,022487467;0,35556295;0,070047388;0,038576768;0,004118827;0,08138005;0,42782655
Ete;Mercredi;4;0,023339148;0,358519369;0,070629815;0,038897525;0,005909485;0,082168408;0,420536251
Ete;Mercredi;5;0,02424575;0,350912173;0,069131165;0,038072183;0,011721455;0,063616994;0,442300281
Ete;Mercredi;6;0,024379995;0,321358842;0,063309036;0,034865797;0,028828686;0,059442702;0,467814942
Ete;Mercredi;7;0,023600669;0,278937235;0,054951802;0,030263269;0,039892743;0,072070859;0,500283424
Ete;Mercredi;8;0,024285434;0,26159786;0,051535872;0,028382035;0,029152017;0,075467639;0,529579142
Ete;Mercredi;9;0,024134899;0,253398349;0,049920534;0,02749243;0,025210103;0,074806749;0,545036937
Ete;Mercredi;10;0,024004886;0,249607829;0,049173786;0,027081177;0,022386579;0,074801741;0,552944002
Ete;Mercredi;11;0,02368341;0,248571516;0,048969628;0,026968743;0,03449928;0,072834292;0,54447313
Ete;Mercredi;12;0,022461944;0,254013697;0,05004176;0,027559192;0,063965231;0,068868091;0,513090085
Ete;Mercredi;13;0,02233333;0,256363663;0,050504714;0,027814151;0,036954431;0,070259325;0,535770387
Ete;Mercredi;14;0,023698284;0,257082197;0,050646268;0,027892108;0,01597508;0,071048879;0,553657184
Ete;Mercredi;15;0,024591347;0,265209386;0,052247358;0,028773867;0,014346929;0,070145811;0,544685303
Ete;Mercredi;16;0,024959666;0,272114489;0,053607692;0,029523035;0,017103349;0,069438133;0,533253635
Ete;Mercredi;17;0,024941335;0,275240066;0,054223444;0,029862145;0,0227304;0,070153717;0,522848893
Ete;Mercredi;18;0,023931424;0,267440203;0,052686838;0,029015899;0,058517914;0,068905996;0,499501726
Ete;Mercredi;19;0,022033358;0,267931362;0,052783599;0,029069187;0,118706849;0,066612477;0,442863168
Ete;Mercredi;20;0,022651652;0,284171067;0,055982889;0,030831113;0,087441655;0,074154081;0,444767544
Ete;Mercredi;21;0,022058428;0,297985684;0,058704426;0,032329928;0,038010908;0,104378723;0,446531903
Ete;Mercredi;22;0,02013666;0,305413088;0,060167655;0,033135764;0,016193818;0,130113805;0,43483921
Ete;Mercredi;23;0,019893001;0,313240346;0,061709658;0,033984981;0,008818845;0,117709895;0,444643273
Ete;Jeudi;0;0,021540869;0,33391646;0,065782939;0,036228234;0,005253112;0,096638617;0,440639768
Ete;Jeudi;1;0,021855786;0,350272776;0,069005202;0,038002811;0,004167695;0,087685677;0,429010053
Ete;Jeudi;2;0,022320739;0,350253276;0,06900136;0,038000696;0,003900393;0,084268165;0,432255371
Ete;Jeudi;3;0,022487467;0,35556295;0,070047388;0,038576768;0,004118827;0,08138005;0,42782655
Ete;Jeudi;4;0,023339148;0,358519369;0,070629815;0,038897525;0,005909485;0,082168408;0,420536251
Ete;Jeudi;5;0,02424575;0,350912173;0,069131165;0,038072183;0,011721455;0,063616994;0,442300281
Ete;Jeudi;6;0,024379995;0,321358842;0,063309036;0,034865797;0,028828686;0,059442702;0,467814942
Ete;Jeudi;7;0,023600669;0,278937235;0,054951802;0,030263269;0,039892743;0,072070859;0,500283424
Ete;Jeudi;8;0,024285434;0,26159786;0,051535872;0,028382035;0,029152017;0,075467639;0,529579142
Ete;Jeudi;9;0,024134899;0,253398349;0,049920534;0,02749243;0,025210103;0,074806749;0,545036937
Ete;Jeudi;10;0,024004886;0,249607829;0,049173786;0,027081177;0,022386579;0,074801741;0,552944002
Ete;Jeudi;11;0,02368341;0,248571516;0,048969628;0,026968743;0,03449928;0,072834292;0,54447313
Ete;Jeudi;12;0,022461944;0,254013697;0,05004176;0,027559192;0,063965231;0,068868091;0,513090085
Ete;Jeudi;13;0,02233333;0,256363663;0,050504714;0,027814151;0,036954431;0,070259325;0,535770387
Ete;Jeudi;14;0,023698284;0,257082197;0,050646268;0,027892108;0,01597508;0,071048879;0,553657184
Ete;Jeudi;15;0,024591347;0,265209386;0,052247358;0,028773867;0,014346929;0,070145811;0,544685303
Ete;Jeudi;16;0,024959666;0,272114489;0,053607692;0,029523035;0,017103349;0,069438133;0,533253635
Ete;Jeudi;17;0,024941335;0,275240066;0,054223444;0,029862145;0,0227304;0,070153717;0,522848893
Ete;Jeudi;18;0,023931424;0,267440203;0,052686838;0,029015899;0,058517914;0,068905996;0,499501726
Ete;Jeudi;19;0,022033358;0,267931362;0,052783599;0,029069187;0,118706849;0,066612477;0,442863168
Ete;Jeudi;20;0,022651652;0,284171067;0,055982889;0,030831113;0,087441655;0,074154081;0,444767544
Ete;Jeudi;21;0,022058428;0,297985684;0,058704426;0,032329928;0,038010908;0,104378723;0,446531903
Ete;Jeudi;22;0,02013666;0,305413088;0,060167655;0,033135764;0,016193818;0,130113805;0,43483921
Ete;Jeudi;23;0,019893001;0,313240346;0,061709658;0,033984981;0,008818845;0,117709895;0,444643273
Ete;Vendredi;0;0,021454809;0,333081503;0,065618449;0,036137646;0,005232125;0,096128691;0,442346776
Ete;Vendredi;1;0,021775286;0,349174298;0,068788797;0,037883632;0,004152344;0,08749349;0,430732153
Ete;Vendredi;2;0,022277123;0,348610025;0,068677633;0,037822411;0,003892772;0,084201638;0,434518398
Ete;Vendredi;3;0,022409245;0,354277629;0,069794174;0,038437317;0,0041045;0,08179209;0,429185044
Ete;Vendredi;4;0,023211457;0,357840192;0,070496014;0,038823837;0,005877154;0,081982997;0,421768348
Ete;Vendredi;5;0,024195339;0,351873371;0,069320526;0,038176468;0,011697085;0,063484725;0,441252487
Ete;Vendredi;6;0,024383306;0,3236976;0,063769781;0,03511954;0,028832601;0,059158057;0,465039116
Ete;Vendredi;7;0,023696673;0,280781429;0,055315116;0,030463354;0,040055022;0,071803468;0,497884938
Ete;Vendredi;8;0,024428748;0,263999029;0,052008913;0,028642549;0,029324049;0,075148845;0,526447868
Ete;Vendredi;9;0,024310549;0,254009894;0,050041011;0,027558779;0,025393578;0,074452496;0,544233692
Ete;Vendredi;10;0,024281303;0,251898972;0,049625151;0,027329755;0,022644361;0,074298968;0,549921491
Ete;Vendredi;11;0,024052716;0,249958139;0,049242799;0,027119184;0,035037242;0,072701712;0,541888209
Ete;Vendredi;12;0,022795435;0,254868176;0,050210097;0,027651898;0,064914919;0,068687159;0,510872315
